/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/libo/Documents/COMP4680-Advanced_SML/Project_02/Particle_Filter/main.py
iter=203, top10p_weight=0.07332, time=2.35
iter=204, top10p_weight=0.06601, time=2.47
iter=205, top10p_weight=0.07628, time=2.6
iter=206, top10p_weight=0.06787, time=2.64
iter=207, top10p_weight=0.0918, time=2.72
iter=208, top10p_weight=0.07984, time=2.7
iter=209, top10p_weight=0.08651, time=2.75
iter=210, top10p_weight=0.07631, time=2.72
iter=211, top10p_weight=0.07916, time=2.8
iter=212, top10p_weight=0.09379, time=2.8
iter=213, top10p_weight=0.08581, time=2.77
iter=214, top10p_weight=0.08537, time=2.9
iter=215, top10p_weight=0.07386, time=2.71
iter=216, top10p_weight=0.08553, time=2.78
iter=217, top10p_weight=0.07194, time=2.8
iter=218, top10p_weight=0.07944, time=2.9
iter=219, top10p_weight=0.08135, time=2.9
iter=220, top10p_weight=0.09242, time=2.95
iter=221, top10p_weight=0.0961, time=2.88
iter=222, top10p_weight=0.09173, time=2.9
iter=223, top10p_weight=0.07718, time=2.85
iter=224, top10p_weight=0.07256, time=2.87
iter=225, top10p_weight=0.07081, time=2.83
iter=226, top10p_weight=0.06926, time=2.8
iter=227, top10p_weight=0.04819, time=2.8
iter=228, top10p_weight=0.06731, time=2.97
iter=229, top10p_weight=0.05825, time=3.0
iter=230, top10p_weight=0.08084, time=2.95
iter=231, top10p_weight=0.05712, time=3.13
iter=232, top10p_weight=0.0481, time=2.79
iter=233, top10p_weight=0.06113, time=2.83
iter=234, top10p_weight=0.03552, time=2.77
iter=235, top10p_weight=0.057, time=2.7
iter=236, top10p_weight=0.05853, time=2.83
iter=237, top10p_weight=0.04656, time=2.93
iter=238, top10p_weight=0.06559, time=2.62
iter=239, top10p_weight=0.05886, time=2.75
iter=240, top10p_weight=0.06739, time=2.67
iter=241, top10p_weight=0.05009, time=2.73
iter=242, top10p_weight=0.03579, time=2.55
iter=243, top10p_weight=0.04733, time=2.92
iter=244, top10p_weight=0.05484, time=2.83
iter=245, top10p_weight=0.05487, time=2.47
iter=246, top10p_weight=0.07549, time=2.69
iter=247, top10p_weight=0.0613, time=2.24
iter=248, top10p_weight=0.07964, time=2.33
iter=249, top10p_weight=0.07591, time=2.17
iter=250, top10p_weight=0.08325, time=2.1
iter=251, top10p_weight=0.07566, time=2.18
iter=252, top10p_weight=0.06722, time=1.97
iter=253, top10p_weight=0.05653, time=2.16
iter=254, top10p_weight=0.05145, time=2.02
iter=255, top10p_weight=0.06152, time=1.96
iter=256, top10p_weight=0.05028, time=1.97
iter=257, top10p_weight=0.06109, time=1.9
iter=258, top10p_weight=0.04528, time=1.8
iter=259, top10p_weight=0.04339, time=1.85
iter=260, top10p_weight=0.05438, time=1.9
iter=261, top10p_weight=0.06593, time=1.9
iter=262, top10p_weight=0.05896, time=1.95
iter=263, top10p_weight=0.05075, time=1.93
iter=264, top10p_weight=0.06036, time=1.95
iter=265, top10p_weight=0.07037, time=2.1
iter=266, top10p_weight=0.0711, time=2.02
iter=267, top10p_weight=0.07066, time=2.03
iter=268, top10p_weight=0.003606, time=2.06
iter=269, top10p_weight=0.06724, time=2.29
iter=270, top10p_weight=0.06083, time=2.04
iter=271, top10p_weight=0.06888, time=2.15
iter=272, top10p_weight=0.06966, time=2.24
iter=273, top10p_weight=0.07659, time=2.17
iter=274, top10p_weight=0.05275, time=2.18
iter=275, top10p_weight=0.06055, time=2.14
iter=276, top10p_weight=0.0693, time=2.2
iter=277, top10p_weight=0.00835, time=2.31
iter=278, top10p_weight=0.05123, time=2.6
iter=279, top10p_weight=0.06383, time=2.47
iter=280, top10p_weight=0.05876, time=2.73
iter=281, top10p_weight=0.05974, time=2.69
iter=282, top10p_weight=0.05444, time=2.41
iter=283, top10p_weight=0.06155, time=2.03
iter=284, top10p_weight=0.05162, time=2.09
iter=285, top10p_weight=0.06331, time=2.21
iter=286, top10p_weight=0.0488, time=2.13
iter=287, top10p_weight=0.05611, time=2.2
iter=288, top10p_weight=0.06895, time=2.22
iter=289, top10p_weight=0.05098, time=2.17
iter=290, top10p_weight=0.06746, time=2.05
iter=291, top10p_weight=0.0655, time=2.03
iter=292, top10p_weight=0.05241, time=2.18
iter=293, top10p_weight=0.05908, time=2.11
iter=294, top10p_weight=0.02279, time=2.02
iter=295, top10p_weight=0.03006, time=2.02
iter=296, top10p_weight=0.05796, time=2.2
iter=297, top10p_weight=0.06428, time=2.08
iter=298, top10p_weight=0.06375, time=2.01
iter=299, top10p_weight=0.05959, time=1.95
iter=300, top10p_weight=0.05676, time=1.88
iter=301, top10p_weight=0.05643, time=1.95
iter=302, top10p_weight=0.07205, time=2.11
iter=303, top10p_weight=0.05254, time=1.9
iter=304, top10p_weight=0.05347, time=2.02
iter=305, top10p_weight=0.07894, time=2.01
iter=306, top10p_weight=0.0689, time=2.19
iter=307, top10p_weight=0.0679, time=2.19
iter=308, top10p_weight=0.06503, time=2.09
iter=309, top10p_weight=0.06796, time=1.98
iter=310, top10p_weight=0.07017, time=1.99
iter=311, top10p_weight=0.05979, time=2.21
iter=312, top10p_weight=0.01181, time=2.28
iter=313, top10p_weight=0.06505, time=2.87
iter=314, top10p_weight=0.05447, time=2.67
iter=315, top10p_weight=0.05512, time=2.28
iter=316, top10p_weight=0.055, time=2.85
iter=317, top10p_weight=0.0396, time=2.63
iter=318, top10p_weight=0.05441, time=2.72
iter=319, top10p_weight=0.05388, time=2.12
iter=320, top10p_weight=0.05446, time=2.65
iter=321, top10p_weight=0.06364, time=2.77
iter=322, top10p_weight=0.06003, time=2.65
iter=323, top10p_weight=0.03194, time=2.85
iter=324, top10p_weight=0.04702, time=2.88
iter=325, top10p_weight=0.06607, time=2.87
iter=326, top10p_weight=0.05174, time=3.12
iter=327, top10p_weight=0.05303, time=2.95
iter=328, top10p_weight=0.03948, time=2.39
iter=329, top10p_weight=0.05916, time=2.83
iter=330, top10p_weight=0.06234, time=2.28
iter=331, top10p_weight=0.05139, time=2.69
iter=332, top10p_weight=0.05765, time=2.81
iter=333, top10p_weight=0.06927, time=2.47
iter=334, top10p_weight=0.06301, time=2.95
iter=335, top10p_weight=0.0667, time=2.3
iter=336, top10p_weight=0.05795, time=2.65
iter=337, top10p_weight=0.07533, time=2.33
iter=338, top10p_weight=0.06288, time=2.89
iter=339, top10p_weight=0.06178, time=2.46
iter=340, top10p_weight=0.05985, time=2.94
iter=341, top10p_weight=0.012, time=2.79
iter=342, top10p_weight=0.06475, time=2.36
iter=343, top10p_weight=0.05431, time=2.67
iter=344, top10p_weight=0.06993, time=2.59
iter=345, top10p_weight=0.04876, time=2.57
iter=346, top10p_weight=0.06679, time=3.02
iter=347, top10p_weight=0.0688, time=3.12
iter=348, top10p_weight=0.05342, time=2.66
iter=349, top10p_weight=0.06494, time=2.71
iter=350, top10p_weight=0.06268, time=2.67
iter=351, top10p_weight=0.06325, time=2.45
iter=352, top10p_weight=0.04976, time=2.52
iter=353, top10p_weight=0.05512, time=2.92
iter=354, top10p_weight=0.06108, time=2.98
iter=355, top10p_weight=0.0724, time=2.78
iter=356, top10p_weight=0.07254, time=2.49
iter=357, top10p_weight=0.04085, time=2.47
iter=358, top10p_weight=0.06844, time=2.67
iter=359, top10p_weight=0.05381, time=2.75
iter=360, top10p_weight=0.0541, time=2.68
iter=361, top10p_weight=0.06602, time=2.67
iter=362, top10p_weight=0.06479, time=2.42
iter=363, top10p_weight=0.07352, time=2.77
iter=364, top10p_weight=0.06401, time=2.52
iter=365, top10p_weight=0.0683, time=2.38
iter=366, top10p_weight=0.06902, time=2.73
iter=367, top10p_weight=0.06814, time=2.65
iter=368, top10p_weight=0.06935, time=2.53
iter=369, top10p_weight=0.05477, time=2.63
iter=370, top10p_weight=0.06708, time=2.42
iter=371, top10p_weight=0.05005, time=2.9
iter=372, top10p_weight=0.07688, time=2.9
iter=373, top10p_weight=0.05553, time=2.67
iter=374, top10p_weight=0.07228, time=2.78
iter=375, top10p_weight=0.06759, time=2.75
iter=376, top10p_weight=0.002883, time=2.76
iter=377, top10p_weight=0.06045, time=2.94
iter=378, top10p_weight=0.06248, time=3.13
iter=379, top10p_weight=0.05875, time=2.93
iter=380, top10p_weight=0.0676, time=2.86
iter=381, top10p_weight=0.05902, time=2.94
iter=382, top10p_weight=0.06462, time=3.0
iter=383, top10p_weight=0.06404, time=3.05
iter=384, top10p_weight=0.07183, time=3.07
iter=385, top10p_weight=0.06802, time=2.91
iter=386, top10p_weight=0.0643, time=2.83
iter=387, top10p_weight=0.07293, time=2.48
iter=388, top10p_weight=0.06208, time=2.81
iter=389, top10p_weight=0.06453, time=2.55
iter=390, top10p_weight=0.06804, time=2.98
iter=391, top10p_weight=0.07104, time=2.88
iter=392, top10p_weight=0.08155, time=2.83
iter=393, top10p_weight=0.07339, time=2.8
iter=394, top10p_weight=0.08672, time=2.57
iter=395, top10p_weight=0.09336, time=2.6
iter=396, top10p_weight=0.08064, time=2.82
iter=397, top10p_weight=0.0767, time=2.58
iter=398, top10p_weight=0.07081, time=2.67
iter=399, top10p_weight=0.07448, time=2.75
iter=400, top10p_weight=0.09057, time=2.76
iter=401, top10p_weight=0.07173, time=2.73
iter=402, top10p_weight=0.09368, time=3.28
iter=403, top10p_weight=0.08081, time=3.13
iter=404, top10p_weight=0.08975, time=3.34
iter=405, top10p_weight=0.05552, time=3.14
iter=406, top10p_weight=0.05132, time=3.68
iter=407, top10p_weight=0.05907, time=3.51
iter=408, top10p_weight=0.07001, time=3.88
iter=409, top10p_weight=0.07546, time=4.29
iter=410, top10p_weight=0.08567, time=4.0
iter=411, top10p_weight=0.06019, time=3.32
iter=412, top10p_weight=0.06759, time=3.55
iter=413, top10p_weight=0.07806, time=3.31
iter=414, top10p_weight=0.08378, time=3.24
iter=415, top10p_weight=0.07367, time=3.28
iter=416, top10p_weight=0.06142, time=3.5
iter=417, top10p_weight=0.09639, time=3.5
iter=418, top10p_weight=0.07324, time=3.3
iter=419, top10p_weight=0.06261, time=3.43
iter=420, top10p_weight=0.08571, time=3.17
iter=421, top10p_weight=0.08199, time=3.2
iter=422, top10p_weight=0.07732, time=3.2
iter=423, top10p_weight=0.08522, time=3.07
iter=424, top10p_weight=0.09145, time=3.26
iter=425, top10p_weight=0.09407, time=3.1
iter=426, top10p_weight=0.08508, time=3.39
iter=427, top10p_weight=0.08464, time=3.55
iter=428, top10p_weight=0.07319, time=3.38
iter=429, top10p_weight=0.08481, time=3.44
iter=430, top10p_weight=0.06243, time=3.4
iter=431, top10p_weight=0.09126, time=3.55
iter=432, top10p_weight=0.0852, time=4.04
iter=433, top10p_weight=0.07218, time=4.05
iter=434, top10p_weight=0.07127, time=4.35
iter=435, top10p_weight=0.07538, time=4.18
iter=436, top10p_weight=0.07318, time=4.25
iter=437, top10p_weight=0.076, time=4.54
iter=438, top10p_weight=0.06135, time=5.03
iter=439, top10p_weight=0.06972, time=4.15
iter=440, top10p_weight=0.08409, time=4.67
iter=441, top10p_weight=0.09405, time=3.58
iter=442, top10p_weight=0.07935, time=3.53
iter=443, top10p_weight=0.08162, time=4.39
iter=444, top10p_weight=0.05906, time=4.35
iter=445, top10p_weight=0.05416, time=5.5
iter=446, top10p_weight=0.07156, time=4.43
iter=447, top10p_weight=0.05088, time=4.56
iter=448, top10p_weight=0.05851, time=4.91
iter=449, top10p_weight=0.06835, time=3.86
iter=450, top10p_weight=0.05421, time=3.86
iter=451, top10p_weight=0.06246, time=4.5
iter=452, top10p_weight=0.04046, time=4.55
iter=453, top10p_weight=0.04733, time=4.02
iter=454, top10p_weight=0.03868, time=4.62
iter=455, top10p_weight=0.02857, time=3.8
iter=456, top10p_weight=0.01893, time=3.75
iter=457, top10p_weight=0.03292, time=3.83
iter=458, top10p_weight=0.04095, time=3.73
iter=459, top10p_weight=0.03965, time=4.62
iter=460, top10p_weight=0.05999, time=4.53
iter=461, top10p_weight=0.006927, time=4.42
iter=462, top10p_weight=0.03193, time=5.8
iter=463, top10p_weight=0.04312, time=4.72
iter=464, top10p_weight=0.04039, time=4.48
iter=465, top10p_weight=0.04984, time=4.13
iter=466, top10p_weight=0.05854, time=4.12
iter=467, top10p_weight=0.05238, time=3.92
iter=468, top10p_weight=0.07149, time=3.1
iter=469, top10p_weight=0.04934, time=3.45
iter=470, top10p_weight=0.05575, time=3.0
iter=471, top10p_weight=0.06857, time=3.55
iter=472, top10p_weight=0.04559, time=3.55
iter=473, top10p_weight=0.07064, time=3.06
iter=474, top10p_weight=0.07371, time=3.82
iter=475, top10p_weight=0.003022, time=2.87
iter=476, top10p_weight=0.0631, time=4.3
iter=477, top10p_weight=0.08431, time=4.0
iter=478, top10p_weight=0.003002, time=2.8
iter=479, top10p_weight=0.06061, time=3.22
iter=480, top10p_weight=0.06933, time=3.03
iter=481, top10p_weight=0.05347, time=2.83
iter=482, top10p_weight=0.05432, time=4.0
iter=483, top10p_weight=0.06814, time=2.9
iter=484, top10p_weight=0.07759, time=2.83
iter=485, top10p_weight=0.05321, time=2.66
iter=486, top10p_weight=0.06608, time=2.68
iter=487, top10p_weight=0.06725, time=3.07
iter=488, top10p_weight=0.0541, time=2.92
iter=489, top10p_weight=0.04399, time=3.15
iter=490, top10p_weight=0.06524, time=3.1
iter=491, top10p_weight=0.05923, time=3.15
iter=492, top10p_weight=0.05734, time=2.78
iter=493, top10p_weight=0.07699, time=2.73
iter=494, top10p_weight=0.0503, time=3.25
iter=495, top10p_weight=0.07414, time=3.1
iter=496, top10p_weight=0.05199, time=3.07
iter=497, top10p_weight=0.06393, time=3.0
iter=498, top10p_weight=0.04945, time=2.73
iter=499, top10p_weight=0.03993, time=2.74
iter=500, top10p_weight=0.07126, time=2.78
iter=501, top10p_weight=0.05589, time=3.08
iter=502, top10p_weight=0.06237, time=3.15
iter=503, top10p_weight=0.05622, time=3.34
iter=504, top10p_weight=0.06263, time=3.13
iter=505, top10p_weight=0.06395, time=3.22
iter=506, top10p_weight=0.06898, time=3.38
iter=507, top10p_weight=0.07009, time=2.97
iter=508, top10p_weight=0.06168, time=2.66
iter=509, top10p_weight=0.0617, time=3.22
iter=510, top10p_weight=0.06156, time=3.17
iter=511, top10p_weight=0.05018, time=2.64
iter=512, top10p_weight=0.07403, time=3.11
iter=513, top10p_weight=0.07214, time=2.57
iter=514, top10p_weight=0.05135, time=3.53
iter=515, top10p_weight=0.05643, time=2.75
iter=516, top10p_weight=0.06431, time=2.76
iter=517, top10p_weight=0.04429, time=3.19
iter=518, top10p_weight=0.0773, time=3.46
iter=519, top10p_weight=0.06067, time=2.93
iter=520, top10p_weight=0.06114, time=3.16
iter=521, top10p_weight=0.05642, time=3.04
iter=522, top10p_weight=0.06359, time=2.77
iter=523, top10p_weight=0.05994, time=3.5
iter=524, top10p_weight=0.08073, time=3.16
iter=525, top10p_weight=0.05888, time=3.35
iter=526, top10p_weight=0.06521, time=2.79
iter=527, top10p_weight=0.0549, time=3.64
iter=528, top10p_weight=0.06468, time=3.34
iter=529, top10p_weight=0.06678, time=3.29
iter=530, top10p_weight=0.0691, time=2.85
iter=531, top10p_weight=0.06971, time=3.89
iter=532, top10p_weight=0.06436, time=3.0
iter=533, top10p_weight=0.08889, time=3.67
iter=534, top10p_weight=0.0744, time=3.12
iter=535, top10p_weight=0.07031, time=3.08
iter=536, top10p_weight=0.05857, time=3.72
iter=537, top10p_weight=0.0721, time=3.29
iter=538, top10p_weight=0.06058, time=3.49
iter=539, top10p_weight=0.06201, time=2.84
iter=540, top10p_weight=0.06264, time=3.32
iter=541, top10p_weight=0.06043, time=2.95
