/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/libo/Documents/COMP4680-Advanced_SML/Project_02/Particle_Filter/main.py
iter=196, top_10p_weight=0.8776, time=10.9
iter=197, top_10p_weight=0.8246, time=11.0
iter=198, top_10p_weight=0.7906, time=10.7
iter=199, top_10p_weight=0.7565, time=10.8
iter=200, top_10p_weight=0.7774, time=10.9
iter=201, top_10p_weight=0.9301, time=10.9
iter=202, top_10p_weight=0.8881, time=10.8
iter=203, top_10p_weight=0.889, time=10.9
iter=204, top_10p_weight=0.8146, time=10.9
iter=205, top_10p_weight=0.8081, time=11.0
iter=206, top_10p_weight=0.856, time=11.4
iter=207, top_10p_weight=0.8328, time=11.2
iter=208, top_10p_weight=0.8413, time=11.1
iter=209, top_10p_weight=0.7959, time=11.2
iter=210, top_10p_weight=0.876, time=11.4
iter=211, top_10p_weight=0.8894, time=11.2
iter=212, top_10p_weight=0.8344, time=11.4
iter=213, top_10p_weight=0.8954, time=11.7
iter=214, top_10p_weight=0.8848, time=11.5
iter=215, top_10p_weight=0.8616, time=12.1
iter=216, top_10p_weight=0.8382, time=11.4
iter=217, top_10p_weight=0.8585, time=11.7
iter=218, top_10p_weight=0.8731, time=11.8
iter=219, top_10p_weight=0.8978, time=11.6
iter=220, top_10p_weight=0.835, time=11.7
iter=221, top_10p_weight=0.8084, time=11.8
iter=222, top_10p_weight=0.8672, time=11.9
iter=223, top_10p_weight=0.8616, time=12.1
iter=224, top_10p_weight=0.8992, time=11.9
iter=225, top_10p_weight=0.9121, time=11.9
iter=226, top_10p_weight=0.8016, time=12.6
iter=227, top_10p_weight=0.8721, time=12.6
iter=228, top_10p_weight=0.8525, time=12.5
iter=229, top_10p_weight=0.8897, time=12.4
iter=230, top_10p_weight=0.772, time=12.7
iter=231, top_10p_weight=0.7856, time=13.0
iter=232, top_10p_weight=0.6105, time=12.6
iter=233, top_10p_weight=0.7872, time=13.2
iter=234, top_10p_weight=0.8688, time=13.0
iter=235, top_10p_weight=0.8774, time=13.6
iter=236, top_10p_weight=0.7913, time=13.1
iter=237, top_10p_weight=0.8764, time=13.3
iter=238, top_10p_weight=0.8816, time=14.0
iter=239, top_10p_weight=0.9402, time=13.6
iter=240, top_10p_weight=0.9617, time=13.1
iter=241, top_10p_weight=0.8853, time=13.3
iter=242, top_10p_weight=0.9737, time=13.4
iter=243, top_10p_weight=0.9995, time=13.5
iter=244, top_10p_weight=0.9281, time=13.5
iter=245, top_10p_weight=0.9917, time=13.6
iter=246, top_10p_weight=0.8977, time=13.6
iter=247, top_10p_weight=0.9745, time=13.9
iter=248, top_10p_weight=0.9443, time=14.3
iter=249, top_10p_weight=0.8986, time=14.6
iter=250, top_10p_weight=0.9034, time=14.7
iter=251, top_10p_weight=0.9382, time=14.9
iter=252, top_10p_weight=0.883, time=14.9
iter=253, top_10p_weight=0.8709, time=14.8
iter=254, top_10p_weight=0.9315, time=14.6
iter=255, top_10p_weight=0.9356, time=14.4
iter=256, top_10p_weight=0.9613, time=15.1
iter=257, top_10p_weight=0.9696, time=14.3
iter=258, top_10p_weight=0.8743, time=14.5
iter=259, top_10p_weight=0.9902, time=14.4
iter=260, top_10p_weight=0.9293, time=14.4
iter=261, top_10p_weight=0.8714, time=15.3
iter=262, top_10p_weight=0.8821, time=15.2
iter=263, top_10p_weight=0.8662, time=15.2
iter=264, top_10p_weight=0.6618, time=15.3
iter=265, top_10p_weight=0.6144, time=15.7
iter=266, top_10p_weight=0.5453, time=16.0
iter=267, top_10p_weight=0.5641, time=14.9
iter=268, top_10p_weight=0.5691, time=16.1
iter=269, top_10p_weight=0.5796, time=16.4
iter=270, top_10p_weight=0.8348, time=16.6
iter=271, top_10p_weight=0.768, time=15.2
