/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/libo/Documents/COMP4680-Advanced_SML/Project_02/Particle_Filter/main.py
iter=216, top10p_weight=0.07368, time=3.34
iter=217, top10p_weight=0.05361, time=3.26
iter=218, top10p_weight=0.07902, time=3.2
iter=219, top10p_weight=0.06908, time=2.67
iter=220, top10p_weight=0.08175, time=3.17
iter=221, top10p_weight=0.07413, time=3.77
iter=222, top10p_weight=0.06479, time=3.18
iter=223, top10p_weight=0.05632, time=3.15
iter=224, top10p_weight=0.05975, time=2.75
iter=225, top10p_weight=0.06367, time=3.23
iter=226, top10p_weight=0.07156, time=3.36
iter=227, top10p_weight=0.07045, time=3.21
iter=228, top10p_weight=0.0689, time=3.18
iter=229, top10p_weight=0.06829, time=3.09
iter=230, top10p_weight=0.07787, time=3.22
iter=231, top10p_weight=0.05174, time=3.19
iter=232, top10p_weight=0.06017, time=3.37
iter=233, top10p_weight=0.05293, time=3.3
iter=234, top10p_weight=0.0479, time=3.18
iter=235, top10p_weight=0.05779, time=3.17
iter=236, top10p_weight=0.05285, time=3.38
iter=237, top10p_weight=0.05398, time=2.6
iter=238, top10p_weight=0.04966, time=3.16
iter=239, top10p_weight=0.06126, time=3.02
iter=240, top10p_weight=0.002911, time=3.2
