/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/libo/Documents/COMP4680-Advanced_SML/Project_02/Particle_Filter/main.py
iter=237, top10p_weight=0.07131, time=3.02
iter=238, top10p_weight=0.07306, time=3.19
iter=239, top10p_weight=0.09107, time=3.12
iter=240, top10p_weight=0.07619, time=2.88
iter=241, top10p_weight=0.06516, time=2.92
iter=242, top10p_weight=0.06593, time=2.97
iter=243, top10p_weight=0.06564, time=2.91
iter=244, top10p_weight=0.08129, time=3.01
iter=245, top10p_weight=0.09436, time=3.02
iter=246, top10p_weight=0.07263, time=3.07
iter=247, top10p_weight=0.07848, time=3.29
iter=248, top10p_weight=0.06563, time=3.56
iter=249, top10p_weight=0.07889, time=3.71
iter=250, top10p_weight=0.06574, time=3.72
iter=251, top10p_weight=0.08182, time=3.9
iter=252, top10p_weight=0.08152, time=3.8
iter=253, top10p_weight=0.06446, time=3.95
iter=254, top10p_weight=0.08146, time=3.85
iter=255, top10p_weight=0.06376, time=3.74
iter=256, top10p_weight=0.08968, time=3.24
iter=257, top10p_weight=0.07676, time=3.73
iter=258, top10p_weight=0.07286, time=3.77
iter=259, top10p_weight=0.09717, time=3.8
iter=260, top10p_weight=0.08704, time=3.83
iter=261, top10p_weight=0.07628, time=3.9
iter=262, top10p_weight=0.07755, time=4.04
iter=263, top10p_weight=0.07522, time=4.33
iter=264, top10p_weight=0.04543, time=4.2
iter=265, top10p_weight=0.04301, time=4.08
iter=266, top10p_weight=0.0347, time=4.27
iter=267, top10p_weight=0.04523, time=3.44
iter=268, top10p_weight=0.02573, time=4.16
iter=269, top10p_weight=0.03107, time=3.99
iter=270, top10p_weight=0.08016, time=4.06
iter=271, top10p_weight=0.06036, time=3.28
iter=272, top10p_weight=0.04649, time=3.28
iter=273, top10p_weight=0.07213, time=3.87
iter=274, top10p_weight=0.05407, time=3.2
iter=275, top10p_weight=0.07142, time=3.45
iter=276, top10p_weight=0.06401, time=3.2
iter=277, top10p_weight=0.04176, time=3.89
iter=278, top10p_weight=0.049, time=3.88
iter=279, top10p_weight=0.04876, time=4.42
iter=280, top10p_weight=0.046, time=4.57
iter=281, top10p_weight=0.03168, time=4.44
iter=282, top10p_weight=0.03421, time=3.87
